# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
8.750000000000000000e+00,5.698736601140462718e-10,3.159260780965573168e-01,4.301270734325520206e-01,4.436158050743273407e+00,3.920094748606800295e+00,3.945686386608954876e+00
8.800000000000000711e+00,5.320825614776518884e-10,3.408634877128398077e-01,4.679181720689464252e-01,4.482289598497175120e+00,3.937665992160354733e+00,3.950193880892051368e+00
8.849999999999999645e+00,4.926555400655601822e-10,3.665055082677895482e-01,5.073451934810381259e-01,4.536673997557358007e+00,3.963378176362745364e+00,3.961143245984509065e+00
8.900000000000000355e+00,4.518850249088910641e-10,3.925998935200190609e-01,5.481157086377073107e-01,4.600011706056626792e+00,3.997964146287770859e+00,3.978745055783804219e+00
8.949999999999999289e+00,4.101426698425394965e-10,4.188039282903512350e-01,5.898580637040587993e-01,4.673159738552918441e+00,4.042159617778153802e+00,4.003512808336139983e+00
9.000000000000000000e+00,3.678797110281549743e-10,4.447627058519779686e-01,6.321210225184433762e-01,4.757072343425733152e+00,4.096776593738894690e+00,4.036191244570730419e+00
9.050000000000000711e+00,3.256221168374711166e-10,4.701396856573610283e-01,6.743786167091272432e-01,4.852780406640583521e+00,4.162574728941564217e+00,4.077151139597305018e+00
9.099999999999999645e+00,2.839592099003213407e-10,4.944785701330872141e-01,7.160415236462769339e-01,4.961326643125886449e+00,4.239104432123419031e+00,4.123880418742373877e+00
9.150000000000000355e+00,2.435247226857454731e-10,5.173044078693687098e-01,7.564760108608528100e-01,5.083715453129300954e+00,4.325102277895311431e+00,4.172870548062604712e+00
9.199999999999999289e+00,2.049698346100440074e-10,5.377020689379986562e-01,7.950308989365543200e-01,5.223070192940767242e+00,4.426878710730825617e+00,4.236047429352517213e+00
9.250000000000000000e+00,1.689286780527328201e-10,5.553213406692907306e-01,8.310720554938655358e-01,5.381899527451949439e+00,4.549010267220509718e+00,4.321253108171859481e+00
9.300000000000000711e+00,1.359780801746560668e-10,5.703980103402893631e-01,8.640226533719422841e-01,5.560152404003872562e+00,4.688261038233584088e+00,4.422163820826327196e+00
9.349999999999999645e+00,1.065948153396319693e-10,5.827388104013709880e-01,8.934059182069663541e-01,5.758696570578223373e+00,4.844017057622608036e+00,4.537114852485906624e+00
9.400000000000000355e+00,8.111513628601074766e-11,5.922941771092817831e-01,9.188855972605876055e-01,5.978067003988030592e+00,5.015108699903457534e+00,4.664028398625390537e+00
9.449999999999999289e+00,5.970245138399562987e-11,5.991055071135260590e-01,9.402982821626026944e-01,6.218837905100748742e+00,5.201042355486812596e+00,4.802309933770793293e+00
9.500000000000000000e+00,4.232925067366005019e-11,6.032819281337898909e-01,9.576714828729382400e-01,6.480670409197941240e+00,5.400062514240147493e+00,4.950110736810522383e+00
9.550000000000000711e+00,2.877831408053180580e-11,6.050978213019231333e-01,9.712224194660665777e-01,6.760521107292333909e+00,5.608132754901120620e+00,5.104258674826525066e+00
9.599999999999999645e+00,1.866563825362438174e-11,6.049461435301259904e-01,9.813350952929739135e-01,7.053229274146218586e+00,5.821208204672274178e+00,5.263049743969425265e+00
9.650000000000000355e+00,1.148360184238235512e-11,6.032027598405851343e-01,9.885171317042159567e-01,7.346904990693438720e+00,6.030959659124391692e+00,5.421539695523691194e+00
9.699999999999999289e+00,6.658429701896938565e-12,6.003018898887428900e-01,9.933423038447014575e-01,7.630977716734648197e+00,6.230328646479847521e+00,5.573981995115360633e+00
9.750000000000000000e+00,3.612293035639800338e-12,5.966509496540497448e-01,9.963884405109585396e-01,7.902615255293653718e+00,6.419207071184921176e+00,5.720380553455484574e+00
9.800000000000000711e+00,1.818810230338266760e-12,5.925784032273274660e-01,9.981819233162601002e-01,8.158065650409511704e+00,6.605423502479126796e+00,5.874241551200398703e+00
9.849999999999999645e+00,8.422302624247398797e-13,5.884358211897947610e-01,9.991585032841736602e-01,8.390822016763330282e+00,6.783515945596150232e+00,6.028607309271855286e+00
9.900000000000000355e+00,3.550394621444526528e-13,5.844077685405867362e-01,9.996456940844539174e-01,8.598326471830993967e+00,6.942995192361436807e+00,6.167576655875912195e+00
9.949999999999999289e+00,1.346935112204410683e-13,5.805125206640576740e-01,9.998660400353778233e-01,8.787820466806309128e+00,7.087333775197933505e+00,6.292794649655277794e+00
1.000000000000000000e+01,4.539996306544890020e-14,5.767451046092878508e-01,9.999553335835328349e-01,8.966078471565211316e+00,7.220976317707155090e+00,6.408014935480785823e+00
1.005000000000000071e+01,1.340096539133046574e-14,5.730998825115645179e-01,9.999873325812069780e-01,9.138008012865242335e+00,7.347979573021198973e+00,6.517485705757906089e+00
1.009999999999999964e+01,3.408448401659425603e-15,5.695706907798872010e-01,9.999973250981966100e-01,9.309331777078298842e+00,7.472315335117883706e+00,6.624362334861238821e+00
1.015000000000000036e+01,7.335465983014587962e-16,5.661564930870651713e-01,1.000000000000000000e+00,9.480657731272394528e+00,7.594262221766626908e+00,6.728692104847603161e+00
